,Zone,Time,Value
426,PGE_bay,91,0.0
427,PGE_bay,92,0.0
428,PGE_bay,93,0.0
429,PGE_bay,94,0.0
430,PGE_bay,95,0.0
431,PGE_bay,96,0.0
432,PGE_valley,73,0.0
433,PGE_valley,74,0.0
434,PGE_valley,75,0.0
435,PGE_valley,76,0.0
436,PGE_valley,77,0.0
437,PGE_valley,78,0.0
438,PGE_valley,79,0.0
439,PGE_valley,80,215.2340656855138
440,PGE_valley,81,927.6285084474257
441,PGE_valley,82,1486.9339326583738
442,PGE_valley,83,1754.0818486940905
443,PGE_valley,84,1839.7207551112142
444,PGE_valley,85,1817.3636954713456
445,PGE_valley,86,1785.9122386898355
446,PGE_valley,87,1547.1843137217481
447,PGE_valley,88,985.6052902253898
448,PGE_valley,89,0.0
449,PGE_valley,90,0.0
450,PGE_valley,91,0.0
451,PGE_valley,92,0.0
452,PGE_valley,93,0.0
453,PGE_valley,94,0.0
454,PGE_valley,95,0.0
455,PGE_valley,96,0.0
456,PNW,73,0.0
457,PNW,74,0.0
458,PNW,75,0.0
459,PNW,76,0.0
460,PNW,77,0.0
461,PNW,78,0.0
462,PNW,79,0.0
463,PNW,80,0.0
464,PNW,81,0.0
465,PNW,82,0.0
466,PNW,83,0.0
467,PNW,84,0.0
468,PNW,85,0.0
469,PNW,86,0.0
470,PNW,87,0.0
471,PNW,88,0.0
472,PNW,89,0.0
473,PNW,90,0.0
474,PNW,91,0.0
475,PNW,92,0.0
476,PNW,93,0.0
477,PNW,94,0.0
478,PNW,95,0.0
479,PNW,96,0.0
