,PGE_valley,SCE
197,36935.11172427777,5346.49870748677
198,37047.29657902251,5353.150972266721
199,37262.123537847016,5379.688772074345
200,37240.60890175612,5397.882786120908
201,37424.58380551679,5455.642955986976
202,37823.371530873635,5520.60333259677
203,37187.42553195692,3190.9428855570613
204,37160.52891841522,3265.9386332640825
205,37305.32892983242,3398.121297042856
206,37484.042898889995,3484.9432653510225
207,37713.03029412819,3559.4618686564495
208,37956.37430798497,3563.7296531238544
209,37886.94014643418,3611.6179426432655
210,34653.87891769882,2591.9090587934234
211,34803.978864238015,2586.247355842255
212,35201.53643597936,2556.644492769468
213,35549.132079623334,2528.5139683186594
214,35779.29427042462,2374.5538506903868
215,36071.456235465965,2374.353653070053
216,36622.01796656484,2392.436159207511
217,34544.17339365811,1157.619379959866
218,34709.64122968128,1143.023267803152
219,35008.83122654798,1141.679116049143
220,35306.95630926799,1144.0884135589463
221,35746.13086446398,1132.6512644882087
222,36154.54629759574,1120.1883384326375
223,36601.070367982924,1095.120276764599
224,35182.22162657566,1218.9777251621313
225,35334.77853390487,1182.6984059733873
226,35831.624803688086,1116.8235553121722
227,36365.62707514946,1096.7879380650706
228,36582.08797700721,1095.3844056094663
229,36878.79932374346,1063.7061398879673
230,37557.192442348714,1088.858914981909
231,37407.153355543254,20.94057330291298
232,37459.14151125372,0.0
233,37558.17802274835,0.0
234,37925.25986880448,0.0
235,38188.073889196,0.0
236,38469.92305751721,0.0
237,38478.77359852531,0.0
238,36817.33229925485,0.0
239,36869.48698055916,0.0
240,36991.381061045075,0.0
241,37006.01959257827,0.0
242,37125.47727008299,0.0
243,37548.06507066981,0.0
244,37996.138772186896,0.0
245,30134.94378609814,0.0
246,30222.996081674235,0.0
247,30340.337531056357,0.0
248,30502.46558640225,0.0
249,30917.737624238143,0.0
250,31454.862798827744,0.0
251,31922.540639706946,0.0
252,29814.331574082593,0.0
253,30152.55706633916,0.0
254,30067.034453374057,0.0
255,30434.448401767047,0.0
256,30573.51113135489,0.0
257,30845.71140994715,0.0
258,31229.738845416417,0.0
259,30650.584466938566,0.0
260,30562.403807198905,0.0
261,30896.995047844044,0.0
262,31290.244945437644,0.0
263,31529.587896741643,0.0
264,31801.949273300743,0.0
265,32125.588768166584,0.0
266,29861.42097577142,0.0
267,30281.031249623804,0.0
268,30475.756697123288,0.0
269,30751.807429066183,0.0
270,30957.958832646666,0.0
271,31241.31614383107,0.0
272,31363.970083691147,0.0
273,40430.183257767916,0.0
274,40468.16789849203,0.0
275,40503.96344291848,0.0
276,40645.52659993216,0.0
277,40763.25773687211,0.0
278,41004.046329726785,0.0
